,timestamp,y_phase_voltage,total_reactive_energy,b_phase_voltage,r_phase_pf,y_phase_current,r_phase_voltage,total_active_power,total_real_energy,y_phase_pf,total_apparent_power,total_pf,total_apparent_energy,b_phase_current,total_reactive_power,r_phase_current,serial_no,b_phase_pf,frequency
7,2022-10-03 02:33:52,0.0,72.18,0.0,0.98,0.0,242.82,1129.38,194.42,1.0,1158.06,0.98,219.3,0.0,256.11,4.77,40190162,1.0,49.98
6,2022-10-03 02:36:22,0.0,72.19,0.0,0.98,0.0,242.52,1177.87,194.46,1.0,1206.29,0.98,219.35,0.0,260.34,4.97,40190162,1.0,49.97
5,2022-10-03 02:39:23,0.0,72.2,0.0,0.46,0.0,246.0,26.73,194.51,1.0,57.96,0.46,219.4,0.0,51.43,0.24,40190162,1.0,50.01
4,2022-10-03 02:42:22,0.0,72.2,0.0,0.98,0.0,241.9,1210.36,194.52,1.0,1240.17,0.98,219.41,0.0,270.28,5.13,40190162,1.0,50.01
3,2022-10-03 02:45:22,0.0,72.22,0.0,0.46,0.0,245.23,26.99,194.58,1.0,58.95,0.46,219.47,0.0,52.41,0.24,40190162,1.0,49.98
2,2022-10-03 02:48:22,0.0,72.22,0.0,0.45,0.0,245.52,27.18,194.59,1.0,59.91,0.45,219.47,0.0,53.39,0.24,40190162,1.0,49.95
1,2022-10-03 02:51:22,0.0,72.23,0.0,0.98,0.0,242.1,1219.63,194.62,1.0,1248.17,0.98,219.51,0.0,265.4,5.16,40190162,1.0,50.02
0,2022-10-03 02:54:22,0.0,72.24,0.0,0.45,0.0,246.04,27.27,194.66,1.0,60.23,0.45,219.55,0.0,53.71,0.24,40190162,1.0,50.04
17,2022-10-03 02:57:22,0.0,72.24,0.0,0.45,0.0,246.24,27.4,194.66,1.0,60.77,0.45,219.55,0.0,54.24,0.25,40190162,1.0,50.03
16,2022-10-03 03:00:22,0.0,72.25,0.0,0.98,0.0,242.47,1232.45,194.68,1.0,1260.84,0.98,219.58,0.0,266.08,5.2,40190162,1.0,50.02
15,2022-10-03 03:03:22,0.0,72.26,0.0,0.45,0.0,246.6,27.76,194.73,1.0,61.35,0.45,219.63,0.0,54.71,0.25,40190162,1.0,50.0
14,2022-10-03 03:06:22,0.0,72.26,0.0,0.45,0.0,245.89,27.42,194.73,1.0,60.59,0.45,219.63,0.0,54.03,0.25,40190162,1.0,49.96
13,2022-10-03 03:09:23,0.0,72.26,0.0,0.46,0.0,246.25,27.8,194.74,1.0,60.77,0.46,219.64,0.0,54.04,0.25,40190162,1.0,49.99
12,2022-10-03 03:12:22,0.0,72.28,0.0,0.98,0.0,242.68,1223.01,194.79,1.0,1250.68,0.98,219.69,0.0,261.62,5.15,40190162,1.0,49.99
11,2022-10-03 03:15:22,0.0,72.28,0.0,0.45,0.0,245.96,27.42,194.81,1.0,60.51,0.45,219.71,0.0,53.94,0.25,40190162,1.0,50.01
10,2022-10-03 03:18:23,0.0,72.28,0.0,0.45,0.0,246.31,27.8,194.81,1.0,62.37,0.45,219.72,0.0,55.83,0.25,40190162,1.0,49.98
9,2022-10-03 03:21:23,0.0,72.29,0.0,0.98,0.0,242.87,1223.85,194.83,1.0,1247.89,0.98,219.74,0.0,243.77,5.15,40190162,1.0,49.98
8,2022-10-03 03:24:23,0.0,72.3,0.0,0.45,0.0,246.69,27.47,194.88,1.0,60.78,0.45,219.79,0.0,54.22,0.25,40190162,1.0,49.96
27,2022-10-03 03:27:22,0.0,72.3,0.0,0.44,0.0,247.03,27.68,194.88,1.0,62.75,0.44,219.8,0.0,56.31,0.25,40190162,1.0,49.95
26,2022-10-03 03:30:22,0.0,72.31,0.0,0.45,0.0,246.61,27.79,194.89,1.0,61.36,0.45,219.8,0.0,54.7,0.25,40190162,1.0,49.88
25,2022-10-03 03:33:22,0.0,72.32,0.0,0.98,0.0,242.47,1212.58,194.92,1.0,1239.22,0.98,219.83,0.0,255.56,5.11,40190162,1.0,49.86
24,2022-10-03 03:36:22,0.0,72.32,0.0,0.46,0.0,246.7,27.81,194.96,1.0,60.79,0.46,219.87,0.0,54.05,0.25,40190162,1.0,49.95
23,2022-10-03 03:39:23,0.0,72.33,0.0,0.46,0.0,246.67,27.78,194.96,1.0,60.88,0.46,219.88,0.0,54.17,0.25,40190162,1.0,49.96
22,2022-10-03 03:42:22,0.0,72.33,0.0,0.45,0.0,247.26,28.0,194.96,1.0,61.91,0.45,219.88,0.0,55.22,0.25,40190162,1.0,49.95
21,2022-10-03 03:45:22,0.0,72.34,0.0,0.98,0.0,243.3,1227.28,195.01,1.0,1253.77,0.98,219.94,0.0,256.4,5.15,40190162,1.0,49.93
20,2022-10-03 03:48:22,0.0,72.35,0.0,0.45,0.0,246.93,27.83,195.03,1.0,61.63,0.45,219.96,0.0,54.99,0.25,40190162,1.0,49.95
19,2022-10-03 03:51:22,0.0,72.35,0.0,0.45,0.0,246.31,27.71,195.04,1.0,61.68,0.45,219.96,0.0,55.1,0.25,40190162,1.0,49.93
18,2022-10-03 03:54:23,0.0,72.35,0.0,0.17,0.0,245.74,223.08,195.04,1.0,1289.55,0.17,219.96,0.0,1270.1,5.25,40190162,1.0,49.93
37,2022-10-03 03:57:22,0.0,72.37,0.0,0.98,0.0,243.18,1228.19,195.1,1.0,1254.91,0.98,220.03,0.0,257.55,5.16,40190162,1.0,49.97
36,2022-10-03 04:00:23,0.0,72.37,0.0,0.45,0.0,246.95,27.85,195.11,1.0,61.54,0.45,220.04,0.0,54.88,0.25,40190162,1.0,50.03
35,2022-10-03 04:03:22,0.0,72.37,0.0,0.45,0.0,246.97,27.65,195.11,1.0,62.04,0.45,220.04,0.0,55.54,0.25,40190162,1.0,50.02
34,2022-10-03 04:06:22,0.0,72.38,0.0,0.98,0.0,244.09,1163.38,195.11,1.0,1187.64,0.98,220.05,0.0,238.83,4.87,40190162,1.0,50.0
33,2022-10-03 04:09:22,0.0,72.39,0.0,0.98,0.0,242.8,1226.56,195.18,1.0,1253.62,0.98,220.11,0.0,259.07,5.16,40190162,1.0,49.95
32,2022-10-03 04:12:22,0.0,72.39,0.0,0.45,0.0,245.58,27.6,195.19,1.0,61.3,0.45,220.12,0.0,54.73,0.25,40190162,1.0,49.9
31,2022-10-03 04:15:22,0.0,72.4,0.0,0.44,0.0,246.2,27.69,195.19,1.0,63.42,0.44,220.13,0.0,57.06,0.26,40190162,1.0,49.97
30,2022-10-03 04:18:22,0.0,72.4,0.0,0.45,0.0,246.58,27.64,195.19,1.0,61.05,0.45,220.13,0.0,54.44,0.25,40190162,1.0,50.02
29,2022-10-03 04:21:22,0.0,72.41,0.0,0.98,0.0,243.17,1226.17,195.25,1.0,1253.49,0.98,220.19,0.0,260.3,5.16,40190162,1.0,50.01
28,2022-10-03 04:24:22,0.0,72.42,0.0,0.45,0.0,246.94,28.04,195.26,1.0,62.92,0.45,220.21,0.0,56.33,0.26,40190162,1.0,49.97
47,2022-10-03 04:27:22,0.0,72.42,0.0,0.45,0.0,246.66,27.96,195.26,1.0,61.47,0.45,220.21,0.0,54.74,0.25,40190162,1.0,49.93
46,2022-10-03 04:30:23,0.0,72.42,0.0,0.46,0.0,247.13,28.11,195.26,1.0,61.58,0.46,220.21,0.0,54.8,0.25,40190162,1.0,50.03
45,2022-10-03 04:33:22,0.0,72.43,0.0,0.98,0.0,242.76,1224.47,195.32,1.0,1251.96,0.98,220.27,0.0,260.94,5.16,40190162,1.0,49.98
44,2022-10-03 04:36:22,0.0,72.44,0.0,0.46,0.0,246.04,27.79,195.34,1.0,60.53,0.46,220.29,0.0,53.77,0.25,40190162,1.0,49.93
43,2022-10-03 04:39:22,0.0,72.44,0.0,0.45,0.0,246.58,28.16,195.34,1.0,62.43,0.45,220.29,0.0,55.72,0.25,40190162,1.0,49.96
42,2022-10-03 04:42:22,0.0,72.44,0.0,0.45,0.0,246.37,27.99,195.34,1.0,62.09,0.45,220.29,0.0,55.42,0.25,40190162,1.0,50.0
41,2022-10-03 04:45:22,0.0,72.45,0.0,0.98,0.0,243.42,1220.1,195.38,1.0,1247.28,0.98,220.34,0.0,258.96,5.12,40190162,1.0,49.99
40,2022-10-03 04:48:23,0.0,72.46,0.0,0.45,0.0,246.77,28.0,195.41,1.0,62.28,0.45,220.37,0.0,55.63,0.25,40190162,1.0,50.06
39,2022-10-03 04:51:22,0.0,72.46,0.0,0.45,0.0,246.44,27.81,195.42,1.0,61.51,0.45,220.37,0.0,54.87,0.25,40190162,1.0,50.01
38,2022-10-03 04:54:22,0.0,72.47,0.0,0.45,0.0,246.35,27.93,195.42,1.0,62.38,0.45,220.38,0.0,55.77,0.25,40190162,1.0,49.97
57,2022-10-03 04:57:22,0.0,72.49,0.0,0.98,0.0,242.22,1214.09,195.45,1.0,1242.3,0.98,220.41,0.0,263.22,5.13,40190162,1.0,50.0
56,2022-10-03 05:00:22,0.0,72.5,0.0,0.45,0.0,246.12,27.71,195.49,1.0,61.43,0.45,220.45,0.0,54.83,0.25,40190162,1.0,50.06
55,2022-10-03 05:03:22,0.0,72.5,0.0,0.45,0.0,245.82,27.8,195.49,1.0,61.55,0.45,220.46,0.0,54.92,0.25,40190162,1.0,50.02
54,2022-10-03 05:06:22,0.0,72.5,0.0,0.45,0.0,245.71,27.92,195.49,1.0,61.72,0.45,220.46,0.0,55.05,0.25,40190162,1.0,49.93
53,2022-10-03 05:09:22,0.0,72.51,0.0,0.98,0.0,242.71,1208.83,195.51,1.0,1236.27,0.98,220.48,0.0,259.02,5.09,40190162,1.0,49.99
52,2022-10-03 05:12:22,0.0,72.52,0.0,0.45,0.0,244.56,27.63,195.57,1.0,61.43,0.45,220.54,0.0,54.87,0.25,40190162,1.0,49.99
51,2022-10-03 05:15:22,0.0,72.52,0.0,0.46,0.0,244.71,27.85,195.57,1.0,60.59,0.46,220.54,0.0,53.81,0.25,40190162,1.0,50.01
50,2022-10-03 05:18:22,0.0,72.52,0.0,0.45,0.0,244.56,27.53,195.57,1.0,60.58,0.45,220.54,0.0,53.96,0.25,40190162,1.0,50.03
49,2022-10-03 05:21:22,0.0,72.53,0.0,0.98,0.0,240.88,1232.55,195.58,1.0,1262.11,0.98,220.55,0.0,271.59,5.24,40190162,1.0,49.98
48,2022-10-03 05:24:22,0.0,72.54,0.0,0.98,0.0,240.46,1218.58,195.64,1.0,1247.7,0.98,220.62,0.0,267.99,5.19,40190162,1.0,49.95
67,2022-10-03 05:27:22,0.0,72.54,0.0,0.46,0.0,244.09,27.41,195.64,1.0,59.85,0.46,220.62,0.0,53.21,0.24,40190162,1.0,49.98
66,2022-10-03 05:30:22,0.0,72.55,0.0,0.46,0.0,244.47,27.6,195.64,1.0,60.14,0.46,220.62,0.0,53.43,0.25,40190162,1.0,50.06
65,2022-10-03 05:33:22,0.0,72.55,0.0,0.45,0.0,243.85,27.57,195.64,1.0,61.06,0.45,220.63,0.0,54.48,0.25,40190162,1.0,50.04
64,2022-10-03 05:36:22,0.0,72.56,0.0,0.98,0.0,239.65,1209.23,195.69,1.0,1239.95,0.98,220.67,0.0,274.28,5.17,40190162,1.0,50.01
63,2022-10-03 05:39:22,0.0,72.57,0.0,0.45,0.0,244.56,27.94,195.72,1.0,62.71,0.45,220.7,0.0,56.14,0.26,40190162,1.0,50.0
62,2022-10-03 05:42:22,0.0,72.57,0.0,0.45,0.0,242.82,26.98,195.72,1.0,59.73,0.45,220.71,0.0,53.3,0.25,40190162,1.0,50.0
